date,prime
1982-08-02,15.00
1982-08-16,14.50
1982-08-18,14.00
1982-08-23,13.50
1982-10-07,13.00
1982-10-13,12.00
1982-11-22,11.50
1983-01-11,11.00
1983-02-25,10.50
1983-08-08,11.00
1984-03-19,11.50
1984-04-05,12.00
1984-05-08,12.50
1984-06-25,13.00
1984-09-27,12.75
1984-10-16,12.50
1984-10-29,12.00
1984-11-08,11.75
1984-11-28,11.25
1984-12-19,10.75
1985-01-15,10.50
1985-05-20,10.00
1985-06-18,9.50
1986-03-07,9.00
1986-04-21,8.50
1986-07-11,8.00
1986-08-26,7.50
1987-04-01,7.75
1987-05-01,8.00
1987-05-15,8.25
1987-09-04,8.75
1987-10-07,9.25
1987-10-22,9.00
1987-11-05,8.75
1988-02-02,8.50
1988-05-11,9.00
1988-07-14,9.50
1988-08-11,10.00
1988-11-28,10.50
1989-02-10,11.00
1989-02-24,11.50
1989-06-05,11.00
1989-07-31,10.50
1990-01-08,10.00
1991-01-02,9.50
1991-02-04,9.00
1991-05-01,8.50
1991-09-13,8.00
1991-11-06,7.50
1991-12-23,6.50
1992-07-02,6.00
1994-03-24,6.25
1994-04-19,6.75
1994-05-17,7.25
1994-08-16,7.75
1994-11-15,8.50
1995-02-01,9.00
1995-07-07,8.75
1995-12-20,8.50
1996-02-01,8.25
1997-03-26,8.50
1998-09-30,8.25
1998-10-16,8.00
1998-11-18,7.75
1999-07-01,8.00
1999-08-25,8.25
1999-11-17,8.50
2000-02-03,8.75
2000-03-22,9.00
2000-05-17,9.50
2001-01-04,9.00
2001-02-01,8.50
2001-03-21,8.00
2001-04-19,7.50
2001-05-16,7.00
2001-06-28,6.75
2001-08-22,6.50
2001-09-18,6.00
2001-10-03,5.50
2001-11-07,5.00
2001-12-12,4.75
2002-11-07,4.25
2003-06-27,4.00
2004-07-01,4.25
2004-08-11,4.50
2004-09-21,4.75
2004-11-10,5.00
2004-12-15,5.25
2005-02-02,5.50
2005-03-22,5.75
2005-05-03,6.00
2005-06-30,6.25
2005-08-09,6.50
2005-09-20,6.75
2005-11-01,7.00
2005-12-13,7.25
2006-01-31,7.50
2006-03-28,7.75
2006-05-10,8.00
2006-06-29,8.25
2007-09-18,7.75
2007-10-31,7.50
2007-12-11,7.25
2008-01-22,6.50
2008-01-30,6.00
2008-03-18,5.25
